record_id,ball_speed_mph,launch_angle_deg,launch_direction_deg,spin_rate_rpm,spin_axis_deg,backspin_rpm,sidespin_rpm,club_speed_mph,attack_angle_deg,carry_distance_yd,max_height_yd,total_distance_yd,lateral_offset_yd
1,116.947,6.62,-12.69,1894.3,-28.72,1661.2605,910.2672,,,106.6601,3.62,193.5696,-58.4755
2,124.2618,9.44,-8.13,1527.26,26.18,1370.5822,-673.8158,,,145.713,7.41,230.4899,-14.206
3,124.8434,11.59,-6.66,2319.25,-1.97,2317.8792,79.727,,,185.444,14.16,222.8565,-28.4449
4,118.4234,15.76,0.83,1933.6899,6.54,1921.1067,-220.2411,85.5852,1.34,185.269,18.23,213.3312,9.241
5,125.4474,10.5,-4.99,2501.9199,9.48,2467.7515,-412.0745,91.4236,-0.92,181.157,12.76,222.7143,-9.0989
6,131.4871,5.46,-5.24,3094.1699,10.71,3040.2705,-575.0147,93.6605,-3.04,164.5888,6.77,231.4632,-7.8193
7,120.034,1.85,-10.83,2385.22,11.74,2335.3235,-485.3228,89.6117,-3.92,65.4418,0.55,188.9983,-30.2056
8,133.3885,11.52,0.87,1699.51,-18.24,1614.116,531.9434,92.1618,1.34,195.0241,13.58,248.5892,-13.9108
9,132.27,12.51,-2.64,3077.6599,11.28,3018.2087,-602.002,92.3631,-1.89,212.8609,20.84,236.4173,5.3587
10,130.7713,13.97,-3.17,3704.9199,13.33,3605.103,-854.2036,93.325,-0.61,212.1938,24.91,231.682,8.2458
11,134.3951,12.02,3.2,5894.0698,19.69,5549.4399,-1985.8944,95.1816,-1.79,205.2931,25.36,219.6741,49.4423
12,137.6387,11.5,-2.62,2523.28,0.49,2523.1877,-21.5791,94.8685,-0.47,223.0643,19.15,251.2358,-11.0783
13,141.6652,8.69,-3.22,3181.8799,6.83,3159.2993,-378.4014,97.3067,-1.56,221.5551,16.66,250.6452,-3.5433
14,131.241,3.5,-6.75,3458.1899,-12.76,3372.7856,763.8023,94.2869,-2.4,145.9208,4.11,217.2682,-40.2778
15,117.3497,15.13,5.94,878.89,7.49,871.391,-114.5661,90.9315,0.36,162.0079,12.78,217.5197,26.0499
16,124.0157,14.05,-7.43,3468.6399,4.55,3457.7083,-275.1639,93.4368,-2.84,197.3753,21.82,218.0993,-22.9003
17,132.5832,8.7,-5.18,3350.8101,-7.38,3323.0522,430.4096,96.3448,-1.67,196.8067,13.92,229.0245,-31.5836
18,120.3695,16.39,-2.78,1716.98,-30.67,1476.8079,875.8189,92.2065,1.4,183.049,17.75,212.4672,-34.8972
19,130.4805,5.68,-4.58,3269.22,7.22,3243.2981,-410.874,93.2131,-2.18,167.7822,7.45,230.1837,-9.0551
20,117.1931,16.54,3.31,2538.6399,22.54,2344.7185,-973.1326,95.4501,-3.97,181.9007,19.82,205.7415,35.7612
21,113.2561,20.48,-1.97,4431.4302,10.93,4351.042,-840.2416,91.6025,-4.19,177.6137,29.39,193.3508,8.1802
22,127.7738,13.44,-1.13,3893.9199,20.99,3635.531,-1394.8214,93.5487,-2.03,199.136,21.71,218.9523,26.6732
23,129.2054,11.04,-2.17,4941.7998,25.74,4451.4453,-2146.1646,93.5039,-5.23,190.07,18.47,208.3989,30.3915
24,125.6487,13.22,-0.58,3927.47,17.99,3735.4575,-1213.0031,94.3316,-3.68,194.4991,20.77,214.2716,23.6877
25,126.2079,15.35,7.64,6532.46,29.46,5687.8081,-3212.7671,94.4435,-3.81,184.2301,25.81,192.1369,71.0193
26,128.6909,14.78,2.6,5544.5098,13.54,5390.4097,-1298.1035,93.325,-2.28,200.9733,28.71,216.3276,35.0503
27,120.2353,14.4,-4.41,4790.6201,15.53,4615.7168,-1282.6544,94.3987,-2.84,183.3333,22.32,199.5407,6.3648
28,133.5004,11.94,-4.1,2776.9099,9.39,2739.7012,-453.0633,94.9579,-1.92,213.7358,19.28,239.2279,-4.5385
29,75.4519,30.82,1.71,2470.3201,15.11,2384.9141,-643.9457,63.6408,-3.68,102.1654,19.23,106.4304,9.2957
30,74.2215,27.57,0.9,3076.49,-5.82,3060.6318,311.9671,64.7817,-3.74,96.1286,16.14,117.3447,1.7279
31,92.6539,24.54,-7.29,3709.25,-13.71,3603.5652,879.1208,72.0293,-5.54,136.4173,22.5,136.4173,-27.9418
32,87.3747,21.67,-7.25,4405.2998,-19.57,4150.8188,1475.5914,71.0675,-4.99,117.7056,16.54,124.9016,-28.8495
33,87.7103,26.24,-3.47,2378.6001,5.16,2368.9607,-213.9249,72.6557,-7.26,128.4449,21.08,137.2594,-5.8071
34,84.7128,24.7,0.42,4218.3901,9.81,4156.7095,-718.7356,71.7162,-5.22,116.0105,19.04,122.8346,7.3491
35,111.0639,15.66,-7.72,2935.26,25.5,2649.3225,-1263.662,,,165.1793,16.7,165.1793,-3.3246
36,113.4798,16.41,0.84,2014.41,29.44,1754.291,-990.1064,,,170.4287,16.5,170.4287,20.7458
37,120.2353,8.69,0.17,5367.04,32.42,4530.5376,-2877.3855,,,153.8167,10.42,177.0341,35.0284
38,122.6512,12.69,1.56,4722.8599,28.47,4151.7095,-2251.3804,88.7169,-4.33,178.8605,18.07,188.7249,39.9606
39,119.2287,15.9,0.42,2905.0901,33.88,2411.8259,-1619.4579,89.6788,-4.73,181.2117,18.91,181.2117,30.5337
40,123.0762,6.82,-4.88,5879.5,21.12,5484.561,-2118.5156,,,165.5074,10.54,165.5074,7.5787
41,130.1002,8.75,-0.58,4331.6899,29.84,3757.387,-2155.3606,,,182.4147,12.71,182.4147,29.0136
42,119.4748,7.26,-4.66,4974.0498,33.13,4165.4316,-2718.5198,,,140.0153,7.69,166.8416,16.6229
43,86.8379,15.66,-16.53,8943.5703,-10.12,8804.4258,1571.478,,,108.563,11.9,108.563,-38.5827
44,123.8144,7.78,-4.94,4221.1499,33.73,3510.5762,-2343.9197,,,157.4584,8.65,157.4584,11.8438
45,123.3223,14.6,-6.1,1660.75,-0.84,1660.5715,24.347,99.0963,-4.87,193.143,16.99,198.1737,-25.4703
46,118.2221,16.26,-6.08,2239.6499,-12.62,2185.5413,489.3274,101.0424,-3.6,189.5013,19.84,189.5013,-31.2008
47,116.3654,17.18,-0.66,3158.6599,32.63,2660.1292,-1703.1868,,,178.4121,20.67,178.4121,27.4278
48,115.068,19.53,-0.53,3298.25,28.54,2897.459,-1575.8121,,,182.3709,25.1,182.3709,27.0779
49,118.9826,16.64,6.18,6015.7798,34.71,4945.2402,-3425.5232,,,171.063,23.05,179.7244,65.5512
50,111.4218,11.71,-10.01,3629.6799,31.88,3082.165,-1916.9861,,,148.0862,11.06,148.0862,-5.0525
51,111.8916,19.99,0.91,3489.1201,25.9,3138.6653,-1524.0537,,,175.4374,24.88,175.4374,28.5324
52,110.2586,18.05,1.06,4228.23,44.8,3000.2283,-2979.3555,,,152.7668,18.5,172.8893,44.521
53,111.981,15.33,-3.42,4624.3901,33.03,3877.0208,-2520.6538,92.296,-2.6,158.8473,17.52,169.6741,22.6597
54,114.8667,17.35,2.99,4652.9199,13.96,4515.4932,-1122.4911,,,178.4996,24.78,178.4996,26.5639
55,113.9943,19.1,9.96,7168.3701,41.65,5356.3379,-4763.9453,,,156.6929,23.34,162.0954,75.5796
56,117.5734,17.76,3.66,5294.9702,30.52,4561.3628,-2688.9924,,,174.5297,24.9,183.1146,51.1155
57,85.1602,16.9,1.74,5868.1201,35.07,4802.7671,-3371.6855,,,102.3622,10.18,102.3622,19.0836
58,101.5122,19.15,-10.35,4306.8901,0.93,4306.3228,-69.9045,,,150.9186,20.69,157.3272,-29.112
59,91.7815,6.03,-0.36,3386.74,55.44,1921.1925,-2789.0908,,,59.9847,1.42,101.9904,12.5656
60,102.8767,20.68,-9.97,3278.8799,-12.4,3202.3911,704.0913,,,158.738,21.95,158.738,-39.0529
61,92.8105,21.49,-6.52,2595.03,-12.45,2534.0066,559.4561,,,135.8815,17.54,139.6216,-24.0267
62,106.2097,21.1,-8.2,3810.05,4.15,3800.0601,-275.7251,,,166.6776,25.67,166.6776,-21.1724
63,104.5991,10.68,-2.53,3101.3401,6.91,3078.813,-373.1226,,,134.6785,8.53,134.6785,-2.3403
64,98.6042,19.13,-1.11,3245.49,-20.38,3042.334,1130.2251,,,142.6728,17.34,151.7826,-17.9571
65,104.0175,19.35,1.24,4749.0298,0.37,4748.9307,-30.6677,,,157.0101,22.74,157.0101,3.9808
66,114.7996,18.88,-1.74,5507.8701,-3.31,5498.6816,318.0149,,,177.8215,28.93,177.8215,-10.269
67,108.5138,19.4,1.69,4752.21,11.87,4650.5928,-977.4906,,,166.0761,24.87,168.9633,18.0118
68,117.7076,14.86,-5.89,3124.28,3.44,3118.6506,-187.467,,,185.6846,19.56,185.6846,-16.3714
69,116.0523,16.66,-0.78,3129.4299,10.52,3076.8281,-571.3673,,,185.5096,21.82,185.5096,8.0599
70,111.8244,18.75,3.41,3988.77,25.42,3602.5994,-1712.1812,,,168.1102,23.14,173.119,36.3189
71,114.3298,15.11,-2.18,2692.8301,7.09,2672.2393,-332.3714,,,176.3123,17.54,184.8425,-0.6234
72,112.4955,16.72,9.04,6362.8999,28.5,5591.8257,-3036.1133,,,157.7209,21.35,160.3346,57.0647
73,131.5542,10.27,-11.42,3130.3799,5.59,3115.4932,-304.9278,,,195.2975,16.22,215.8355,-35.9471
74,130.995,14.28,-5.26,3085.47,14.69,2984.6123,-782.4415,,,215.7152,23.78,225.2953,-0.853
75,131.1292,15.03,-4.22,3276.6299,16.9,3135.124,-952.5234,,,217.2353,25.75,225.5468,7.4366
76,122.4499,15.47,-5.95,2708.03,22.25,2506.3916,-1025.3918,,,194.1273,20.55,220.0022,5.7852
77,127.1922,7.8,-13.0,3646.78,13.01,3553.1699,-820.9672,,,171.7192,10.85,186.0346,-28.4011
78,132.9859,15.39,0.29,3884.3401,18.32,3687.4656,-1220.9406,,,219.3898,28.71,220.724,28.0949
79,91.088,13.76,-18.75,7135.5898,-21.29,6648.6187,2590.8513,,,107.4584,9.97,110.8486,-48.0096
80,115.1351,18.27,-5.8,2294.9099,5.13,2285.7173,-205.2012,,,188.7139,22.51,188.7139,-15.3325
81,127.4606,19.03,-5.14,3189.3601,3.0,3184.989,-166.9182,,,219.7944,33.27,219.7944,-16.787
82,118.2221,23.23,-8.8,4910.9199,-1.26,4909.7324,107.9881,,,188.6155,38.41,188.6155,-33.8255
83,84.243,41.82,-16.17,6127.23,-22.84,5646.8086,2378.3398,,,104.8775,35.7,104.8775,-47.255
84,130.4581,15.28,-8.28,2299.46,-3.86,2294.2437,154.7968,,,220.0569,23.43,227.2638,-38.1999
85,117.3497,20.83,-5.63,5214.0498,6.51,5180.4302,-591.1513,,,185.0831,33.72,185.0831,-10.6737
86,102.8767,24.51,1.08,4866.02,16.75,4659.5615,-1402.3688,,,155.4462,29.16,155.4462,20.2209
87,119.1169,19.19,-2.08,4913.0898,14.71,4752.0557,-1247.5649,,,188.528,30.77,188.528,12.9812
88,79.031,23.17,-5.86,5146.2798,-10.63,5057.9639,949.3136,62.1197,-2.5,98.5017,15.53,105.304,-17.7603
89,93.1684,17.72,-2.43,5647.8599,-14.6,5465.4858,1423.6526,73.2597,-5.44,122.769,16.33,125.3828,-17.2682
90,92.0052,17.72,-5.77,5676.1899,-24.7,5156.8652,2371.8928,67.9805,-6.03,116.8854,14.92,122.7253,-31.5507
91,88.2695,21.01,0.85,5276.8398,-9.88,5198.5806,905.4277,69.8819,-4.27,116.2839,17.9,127.3294,-6.1789
92,103.6596,19.29,-9.5,5766.3301,-28.38,5073.3013,2740.8352,75.2058,-3.81,140.7699,21.56,140.7699,-52.1982
93,96.6133,21.61,-5.51,6156.54,-12.13,6019.085,1293.6768,72.1188,-1.94,130.3915,23.28,139.556,-26.3998
94,104.3754,4.54,-2.92,1811.49,-8.35,1792.2871,263.064,74.1992,-1.06,74.6829,1.62,113.7686,-8.0052
95,95.0698,23.47,0.73,5985.8799,-5.34,5959.9009,557.0801,75.4966,-2.35,129.3963,25.1,138.2655,-3.7292
96,90.8643,22.86,-1.52,4847.6602,-20.61,4537.4009,1706.4006,73.9979,-2.06,122.5722,20.44,124.8906,-19.357
97,82.6995,14.18,0.06,3984.52,-0.59,3984.3088,41.0296,73.2149,-3.26,93.4164,8.16,108.8801,-0.1094
98,80.9547,22.33,3.19,3740.46,6.96,3712.8965,-453.2554,73.2373,-2.92,103.9042,15.05,113.0796,10.5752
99,90.6407,21.09,1.05,6571.54,2.9,6563.124,-332.4735,78.0691,-4.78,119.3023,20.0,128.248,5.2712
100,91.1999,21.22,-1.35,5709.6299,-9.88,5624.9521,979.6881,77.9796,-3.57,121.6207,19.84,126.6295,-11.5923
101,94.0184,19.43,-0.98,6373.5898,-8.88,6297.1948,983.8624,76.6822,-3.97,125.0109,19.54,130.0416,-10.3346
102,92.9223,25.94,3.74,4653.6699,-3.64,4644.2817,295.4487,76.0111,-1.79,129.1667,26.17,138.4514,6.2336
103,99.0292,23.41,5.95,7428.8501,6.99,7373.6348,-904.0621,77.398,-5.35,132.4256,27.92,138.4842,23.9829
104,102.3398,7.54,-4.43,2287.5,1.25,2286.9556,-49.9015,75.4966,-2.06,103.0293,4.4,134.7332,-10.4768
105,98.0449,24.81,4.73,7150.0898,4.86,7124.3833,-605.7651,77.1296,-2.98,131.157,29.1,137.3469,18.0884
106,97.8436,13.52,-3.45,3597.8301,-6.69,3573.3325,419.1378,78.7625,-3.38,127.2857,11.72,139.556,-13.2655
107,119.9669,12.93,1.85,3654.3501,5.83,3635.4487,-371.1986,83.1917,-0.91,177.8871,19.78,195.6802,19.7069
108,122.2262,13.07,1.05,3225.95,0.69,3225.7161,-38.8484,84.7351,-0.76,184.416,20.17,200.7546,4.7135
109,116.6786,15.91,2.81,1583.42,-21.96,1468.5353,592.1345,83.9298,0.25,172.4519,16.83,188.8998,-18.2196
110,119.5642,10.07,-1.79,2561.4299,-30.7,2202.4514,1307.72,83.6167,-1.73,152.0779,10.01,189.2826,-34.5254
111,111.1086,12.83,-3.45,2867.6799,-40.34,2185.7932,1856.3125,86.48,-2.15,138.189,11.19,165.0481,-42.3775
112,119.6985,12.96,3.94,2556.3799,-4.26,2549.3174,189.8944,86.7931,-1.86,177.4934,16.98,201.8045,7.7318
113,112.2495,3.46,-3.96,2452.8701,-25.88,2206.8723,1070.6477,87.33,0.89,80.8508,1.44,123.6877,-26.1155
114,118.8708,6.62,1.27,3281.6299,-19.69,3089.751,1105.6826,86.3234,-0.4,143.2087,7.06,172.7362,-14.5888
115,122.0025,7.97,-1.67,3708.51,-19.96,3485.7441,1265.9518,89.0972,-1.49,161.3517,10.67,182.1194,-28.1934
116,112.5403,13.35,4.73,2843.24,-53.36,1696.8035,2281.4187,84.5115,2.56,133.0271,10.59,158.0162,-22.0035
117,122.7407,11.55,2.76,3509.4399,-22.44,3243.7043,1339.6084,90.9762,0.33,175.6015,16.56,187.2157,-18.6242
118,120.3919,11.88,2.29,2832.77,-69.45,994.3724,2652.51,85.9655,1.32,124.1251,7.97,159.7878,-28.7839
119,124.396,7.92,1.0,3461.45,-44.9,2451.8828,2443.3391,87.0616,0.92,137.6531,7.29,181.4851,-38.4077
120,127.0356,6.29,-0.18,3647.3101,-39.32,2821.6287,2311.1216,91.4907,1.98,140.1356,6.43,186.297,-40.6277
121,123.9934,8.84,-1.25,2966.48,-34.36,2448.8521,1674.2541,88.605,0.4,154.3417,9.42,195.7459,-40.584
122,95.629,7.4,-9.49,6477.9199,21.47,6028.4126,-2371.0093,89.4551,1.55,99.7703,5.53,135.2472,-4.1667
123,103.4583,16.09,12.08,2460.8701,-9.45,2427.4744,404.0425,68.2713,11.93,146.7192,15.51,161.0564,27.1216
124,127.5277,12.28,2.44,3220.8601,-5.53,3205.8699,310.3844,88.2024,-1.85,194.5866,20.91,205.9383,1.542
125,130.6371,9.09,1.57,2384.3999,-25.11,2159.0615,1011.8379,91.2446,-1.15,177.57,11.33,206.7695,-20.5271
126,122.1815,12.86,3.18,1647.13,-13.19,1603.6766,375.8436,92.2736,-0.41,174.6282,14.07,199.8141,0.8858
127,102.6083,12.43,3.57,885.54,35.51,720.8421,-514.3615,84.0417,2.72,107.2944,6.54,160.794,20.374
128,122.1591,2.52,-6.18,2010.1801,-15.06,1941.1389,522.3059,93.0565,-0.35,81.332,1.06,156.8569,-18.8539
129,110.5718,11.62,10.11,1880.61,-49.56,1219.8604,1431.3052,82.0061,8.56,122.0144,7.6,185.0503,1.0499
130,112.3837,8.46,-2.67,1385.11,-59.48,703.413,1193.2057,95.8975,-0.83,89.9606,3.72,165.5621,-14.2388
131,125.2684,2.35,-2.23,2532.1499,-20.25,2375.6411,876.4202,91.2894,0.2,95.8771,1.41,170.724,-33.7489
132,115.1127,9.23,-5.78,883.53,-37.62,699.8235,539.3258,81.4469,1.69,105.129,4.62,204.5057,-32.0538
133,110.1915,22.93,-0.96,4131.1899,-27.48,3665.0759,1906.292,86.1892,2.01,169.6522,29.32,184.0332,-36.8548
134,119.0274,9.27,-5.01,1101.67,-41.02,831.1887,723.0507,90.842,1.16,115.4965,5.23,212.8718,-35.2253
135,100.7964,20.3,5.48,3070.28,6.74,3049.0613,-360.3405,,,151.8045,20.53,170.3303,23.0752
136,102.5635,24.35,-7.08,5503.25,-19.18,5197.7705,1808.021,,,150.514,28.73,162.5109,-43.6461
137,76.0558,38.2,-1.25,4166.54,-14.54,4033.0967,1046.0342,,,97.43,26.98,106.4414,-10.5096
138,118.0655,6.95,-4.96,1850.78,-45.49,1297.4594,1319.8431,,,99.9891,3.44,191.7979,-38.6592
139,116.2983,15.26,-4.82,2538.1499,-53.18,1521.1212,2031.8453,,,151.3123,13.35,183.4646,-53.3793
140,79.9481,25.75,-0.5,4793.3398,-0.08,4793.3354,6.6928,71.2688,-4.56,105.6758,18.01,116.8526,-1.1155
141,91.692,24.94,-4.33,4739.0,-13.55,4607.0938,1110.3185,72.7675,-4.07,130.3806,23.12,142.2791,-23.0643
142,81.2903,26.48,-0.86,4095.4099,-0.39,4095.3149,27.8764,72.9912,-4.04,110.0066,19.14,122.6269,-2.1872
143,84.4443,31.58,4.05,3284.8401,6.64,3262.8062,-379.8281,73.6176,-3.18,120.1225,25.96,132.36,14.4904
144,77.7559,28.09,-2.61,4205.27,2.18,4202.2266,-159.9643,69.5463,-4.04,102.7778,18.89,114.3045,-4.2542
145,76.3019,26.66,-1.26,3580.7,-12.92,3490.0481,800.6099,68.7634,0.18,99.0814,16.36,112.7078,-9.0989
146,92.4749,27.57,-3.25,4567.6401,3.19,4560.5625,-254.1766,77.7335,-3.44,133.8692,27.25,144.9694,-5.9711
147,89.4103,19.08,-2.39,4445.8301,12.4,4342.1191,-954.6767,76.9506,-4.38,119.6194,14.92,134.9628,3.1059
148,86.5694,16.94,-2.94,1325.38,25.83,1192.9623,-577.4713,76.548,-7.2,100.2625,8.67,137.6422,1.4326
149,96.3896,15.75,-3.93,2326.26,-27.36,2066.0364,1069.1023,77.6441,-4.99,122.5722,10.88,152.9965,-26.4326
150,87.3524,15.53,-7.72,2093.3,-51.47,1303.9677,1637.551,77.1743,-3.86,90.7262,7.2,130.5774,-35.6846
151,112.7863,15.27,-5.17,4142.5298,-16.85,3964.6782,1200.783,78.248,-3.43,167.64,19.07,185.8377,-37.2703
152,113.7706,15.62,-3.15,5541.3701,-2.86,5534.4683,276.4904,82.4758,-3.6,170.5709,22.81,184.3285,-14.6654
153,117.0589,14.88,-5.27,4868.1401,-17.81,4634.8394,1488.9763,82.2298,-3.74,175.3609,21.18,191.6229,-42.465
154,89.4775,19.62,5.44,2839.0701,-17.48,2707.967,852.7796,62.5447,14.5,120.6037,14.21,140.6496,2.9746
155,104.1741,13.72,-10.44,2678.29,-3.8,2672.4019,177.5007,80.731,-1.57,141.6776,11.94,171.3255,-34.6129
156,91.088,21.94,5.24,3030.23,9.54,2988.3223,-502.2185,64.7593,10.55,129.8119,17.98,147.6159,20.7896
157,89.634,24.44,5.01,4457.2998,25.58,4020.4102,-1924.5325,73.7965,0.77,124.0048,20.36,137.161,31.9773
158,97.262,24.39,7.13,5794.79,23.48,5314.9766,-2308.8118,79.9481,-0.17,137.839,25.22,149.1579,43.1868
159,87.4195,21.85,0.71,2933.6899,11.15,2878.3145,-567.3117,79.3889,-2.09,120.5709,16.14,138.692,8.7708
160,93.4816,15.51,-2.46,1195.86,-4.79,1191.6834,99.859,81.8719,-4.16,111.9641,8.89,157.9287,-8.6505
161,86.8826,16.42,1.38,1118.1801,-10.02,1101.1245,194.5543,81.2455,-3.08,99.6172,8.23,141.1417,0.3609
162,106.5005,14.54,-1.99,4092.29,2.37,4088.7896,-169.2264,84.3549,-5.02,152.9746,15.98,171.7082,-3.7402
163,95.4053,17.38,0.72,3430.96,18.28,3257.8167,-1076.1584,83.7285,-4.06,129.7353,14.2,149.3438,15.3762
164,116.7233,17.48,1.71,5533.0498,16.67,5300.5112,-1587.2048,86.7484,-3.06,177.1654,26.63,191.7651,30.8399
165,83.818,4.1,26.82,3340.78,30.71,2872.2795,-1706.1128,82.7666,-4.77,39.1404,0.68,102.9746,52.1872
166,103.8833,17.37,-4.0,1164.02,36.17,939.6778,-686.9849,84.7128,-5.26,138.8561,12.72,176.4436,3.0621
167,91.3117,19.38,-14.15,7915.2402,-12.95,7713.9238,1773.8104,89.7235,-2.73,120.5818,17.4,130.4353,-44.8491
168,93.3474,14.15,-0.27,1894.63,-61.39,907.2343,1663.2946,85.5404,-4.16,92.2244,6.52,143.0774,-21.9488
169,118.7366,13.94,-5.26,3163.95,9.08,3124.3022,-499.3137,83.0574,-5.37,182.3819,18.38,204.7682,-8.5411
170,98.9844,17.59,2.87,754.69,-5.19,751.5959,68.2683,82.1627,-0.69,128.259,11.41,171.8832,7.1522
171,107.1716,4.74,-5.48,1812.39,13.12,1765.0808,-411.3967,83.1469,-2.8,73.5674,1.64,165.4746,-10.8924
172,112.0481,6.81,-0.72,1602.88,-5.16,1596.3842,144.1587,76.3466,-0.89,101.5092,3.48,186.2533,-4.8556
173,116.7457,8.57,-3.96,923.05,-55.52,522.5557,760.8921,84.7351,-1.11,95.8443,3.83,199.9016,-28.3136
174,98.5594,20.88,-1.79,3639.47,-47.14,2475.6016,2667.7966,82.8338,5.25,132.3272,17.17,150.3718,-38.4514
175,116.1641,7.23,3.64,2490.4199,7.33,2470.0676,-317.7376,80.306,-2.47,131.157,5.63,200.5796,19.0179
176,120.8169,11.27,0.3,3112.3401,15.44,3000.0151,-828.5956,86.3681,-0.64,174.3876,13.8,203.9917,18.4493
177,117.8194,11.81,-5.42,2167.5601,16.14,2082.1265,-602.5499,87.2629,-0.66,162.6969,11.69,207.7428,-5.3478
178,107.3282,19.02,2.79,4658.46,27.0,4150.7183,-2114.8965,84.2878,-0.18,156.9882,21.92,172.0363,38.6264
179,119.7879,7.03,-1.5,1482.77,-5.07,1476.9686,131.0365,83.2364,-2.55,117.1697,4.23,208.4646,-8.2896
180,111.1086,2.68,-10.8,2274.0801,10.54,2235.7104,-415.9791,86.6589,-3.37,62.5547,0.75,170.199,-27.7559
181,120.7051,8.51,-2.35,2949.6001,18.38,2799.1296,-930.0613,88.7169,-4.46,154.8119,8.68,208.9458,10.8924
182,115.3364,15.98,1.29,4167.5698,20.29,3908.97,-1445.1963,92.8552,-2.11,174.4204,21.21,192.1807,30.0416
183,115.672,13.07,-3.48,1410.15,-51.55,876.8757,1104.3605,85.6523,2.95,135.8377,9.18,201.8154,-38.6155
184,111.1086,14.74,0.26,3525.6201,6.39,3503.7166,-392.3856,79.6349,-4.0,165.1903,17.33,172.7362,7.1741
185,97.1949,13.06,-3.54,2349.0701,-7.33,2329.873,299.7036,78.8744,-4.15,119.8928,8.76,132.9724,-11.5814
186,94.4882,7.83,6.88,4570.8101,-3.42,4562.6699,272.6709,82.4087,-4.52,96.8723,4.59,112.839,12.0954
